Product UPC,Product,NACS CATEGORY,NACS SUBCATEGORY,BRAND,COMPANY,NACS Category Code,NACS Subcategory Code
0088004000356,RICH RARE 40 PERCENT CAN 80 PROOF BTTL C,LIQUOR,DISTILLED SPIRITS,RICH RARE,SAZERAC COMPANY INC,06-00-00,06-01-00
0088004000363,RICH RARE 40 PERCENT A BLEND CNDN 80 PRO,LIQUOR,DISTILLED SPIRITS,RICH RARE,SAZERAC COMPANY INC,06-00-00,06-01-00
0088004000370,RICH RARE 40 PERCENT BLNDD CAN 80 PROOF,LIQUOR,DISTILLED SPIRITS,RICH RARE,SAZERAC COMPANY INC,06-00-00,06-01-00
0088004000387,RICH RARE 40 PERCENT A BLEND CNDN 80 PRO,LIQUOR,DISTILLED SPIRITS,RICH RARE,SAZERAC COMPANY INC,06-00-00,06-01-00
0088004000417,ROYAL CNDN 40 PERCENT BLNDD CAN 80 PROOF,LIQUOR,DISTILLED SPIRITS,ROYAL CANADIAN,SAZERAC COMPANY INC,06-00-00,06-01-00
0088004005672,RICH RARE 40 PERCENT A BLEND CNDN 80 PRO,LIQUOR,DISTILLED SPIRITS,RICH RARE,SAZERAC COMPANY INC,06-00-00,06-01-00
0088004005689,TAAKA GNN DSTLL FROM GRAIN 40 PERCENT VO,LIQUOR,DISTILLED SPIRITS,TAAKA,SAZERAC COMPANY INC,06-00-00,06-01-00
0088004005696,PLTNM 7X SEVEN TIMES DSTLL 40 PERCENT VO,LIQUOR,DISTILLED SPIRITS,PLATINUM 7X,SAZERAC COMPANY INC,06-00-00,06-01-00
0088004006051,MCFS BNCHM 40 PERCENT KY BRBN SOUR MASH,LIQUOR,DISTILLED SPIRITS,MCAFEE S BENCHMARK,SAZERAC COMPANY INC,06-00-00,06-01-00
0088004006136,TAAKA DSTLL FROM GRAIN PINK LMNADE VODKA,LIQUOR,DISTILLED SPIRITS,TAAKA,SAZERAC COMPANY INC,06-00-00,06-01-00
0088004008581,RICH RARE RSRV 40 PERCENT A BLEND CNDN W,LIQUOR,DISTILLED SPIRITS,RICH RARE,SAZERAC COMPANY INC,06-00-00,06-01-00
0088004008918,RICH RARE RSRV 40 PERCENT A BLEND CNDN W,LIQUOR,DISTILLED SPIRITS,RICH RARE,SAZERAC COMPANY INC,06-00-00,06-01-00
0088004008925,RICH RARE RSRV 40 PERCENT A BLEND CNDN W,LIQUOR,DISTILLED SPIRITS,RICH RARE,SAZERAC COMPANY INC,06-00-00,06-01-00
0088004009281,FRBLL 33 PERCENT 66 PROOF JUG CND WHSKY,LIQUOR,DISTILLED SPIRITS,FIREBALL,SAZERAC COMPANY INC,06-00-00,06-01-00
0088004009373,FRBLL 33 PERCENT 66 PROOF BTTL CND WHSKY,LIQUOR,DISTILLED SPIRITS,FIREBALL,SAZERAC COMPANY INC,06-00-00,06-01-00
0088004009502,DR MCGLL INTNS ICE MINT LQR 750 MILLILIT,LIQUOR,CORDIALS BRANDY COGNAC,DR MCGILLICUDDY S,SAZERAC COMPANY INC,06-00-00,06-03-00
0088004009533,DR MCGLL INTNS ICE MINT LQR 50 MILLILITE,LIQUOR,CORDIALS BRANDY COGNAC,DR MCGILLICUDDY S,SAZERAC COMPANY INC,06-00-00,06-03-00
0088004009588,DR MCGLL INTNS WILD GRAPE LQR 50 MILLILI,LIQUOR,CORDIALS BRANDY COGNAC,DR MCGILLICUDDY S,SAZERAC COMPANY INC,06-00-00,06-03-00
